date,fund_id,monthly_return,name,strategy,mgmt_fee_pct,redemption_freq,lockup_months,notice_days,notes
2023-01-01,MAC,-0.00155,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-02-01,MAC,-0.038299,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-03-01,MAC,0.048191,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-04-01,MAC,-0.034427,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-05-01,MAC,0.023927,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-06-01,MAC,0.032103,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-07-01,MAC,-0.010682,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-08-01,MAC,0.002624,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-09-01,MAC,0.02756,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-10-01,MAC,0.00804,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-11-01,MAC,-0.01459,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-12-01,MAC,0.009736,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-01-01,MAC,0.01126,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-02-01,MAC,0.029746,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-03-01,MAC,0.011595,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-04-01,MAC,-0.030686,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-05-01,MAC,-0.007603,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-06-01,MAC,-0.017668,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-07-01,MAC,0.042473,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-08-01,MAC,0.048436,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-09-01,MAC,0.004341,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-10-01,MAC,0.03707,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-11-01,MAC,0.027948,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2024-12-01,MAC,-0.003807,Northwind Global Macro,Global Macro,1.75,Monthly,12,30,Discretionary macro; runs FX + rates.
2023-01-01,EMN,0.020588,Keel Market Neutral,Market Neutral,1.25,Monthly,0,15,Beta-neutral stat-arb book.
2023-02-01,EMN,0.010004,Keel Market Neutral,Market Neutral,1.25,Monthly,0,15,Beta-neutral stat-arb book.
