date,Atlas Macro,Vela Neutral,Cobalt Credit,Pierce L/S,Terra Trend
2023-07-01,0.00951,0.008514,0.006479,0.038565,-0.001318
2023-08-01,-0.006678,0.004504,0.00861,0.006017,-0.012506
2023-09-01,-0.044216,0.005465,-0.006454,0.025985,0.027429
2023-10-01,-0.01073,0.006262,0.015752,0.064495,-0.002972
2023-11-01,-0.036271,0.004154,0.015454,0.023361,-0.055681
2023-12-01,0.055315,0.010394,0.020023,-0.045916,0.004749
2024-01-01,0.021918,0.006145,0.027241,-0.014937,-0.011469
2024-02-01,-0.023166,0.008941,0.001899,0.024032,0.040044
2024-03-01,0.01055,-0.001739,0.017094,0.112416,0.050046
2024-04-01,-0.002977,-0.008803,0.04043,0.052436,0.022078
2024-05-01,0.022842,-0.01742,0.016359,0.032082,-0.018658
2024-06-01,0.017214,0.001373,0.017744,0.044525,-0.02226
2024-07-01,0.033977,-0.010248,-0.007422,-0.021691,-0.019336
2024-08-01,-0.01689,-0.001175,0.023698,-0.023216,0.067924
2024-09-01,-0.006835,-0.002934,-0.023945,-0.028948,-0.001351
2024-10-01,-0.019116,-0.005167,0.000353,-0.004311,-0.01312
2024-11-01,0.023354,0.016729,-0.000227,0.03223,0.012912
2024-12-01,-0.006716,-0.018676,0.005041,-0.008538,0.034184
