date,fund_id,monthly_return,name,strategy,notes
2023-01-01,BET1,-0.006153,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-02-01,BET1,-0.062273,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-03-01,BET1,0.018597,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-04-01,BET1,0.038408,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-05-01,BET1,0.007619,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-06-01,BET1,-0.027937,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-07-01,BET1,0.007475,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-08-01,BET1,0.010989,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-09-01,BET1,0.032021,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-10-01,BET1,0.094876,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-11-01,BET1,0.017828,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-12-01,BET1,-0.029122,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-01-01,BET1,-0.020001,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-02-01,BET1,0.009045,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-03-01,BET1,-0.029918,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-04-01,BET1,0.012365,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-05-01,BET1,-0.032958,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-06-01,BET1,0.0108,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-07-01,BET1,-0.004157,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-08-01,BET1,0.011747,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-09-01,BET1,0.009048,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-10-01,BET1,0.031256,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-11-01,BET1,-0.057289,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2024-12-01,BET1,-0.037877,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2025-01-01,BET1,0.001291,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2025-02-01,BET1,0.045148,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2025-03-01,BET1,0.035631,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2025-04-01,BET1,0.032758,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2025-05-01,BET1,-0.014703,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2025-06-01,BET1,-0.010538,Cobalt Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-01-01,BET2,0.003863,Slate Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
2023-02-01,BET2,-0.060277,Slate Equity Beta,Long/Short Equity,Loads on the common equity factor (crowded).
