date,fund_id,monthly_return,name,strategy,aum_mm,inception_date,mgmt_fee_pct,redemption_freq,lockup_months,notice_days,notes
2023-07-01,EQ-LS,0.019516,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2023-08-01,EQ-LS,-0.028345,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2023-09-01,EQ-LS,0.024979,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2023-10-01,EQ-LS,0.000698,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2023-11-01,EQ-LS,0.001199,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2023-12-01,EQ-LS,-0.040976,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2024-01-01,EQ-LS,0.018633,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2024-02-01,EQ-LS,0.020048,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2024-03-01,EQ-LS,0.016902,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2024-04-01,EQ-LS,0.018676,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2024-05-01,EQ-LS,0.029321,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
2024-06-01,EQ-LS,0.050178,Hudson Long/Short,Long/Short Equity,420,2016-03-01,1.5,Monthly,12,30,"Concentrated single-name L/S, net ~50%."
